state_id,college_id,college_name,city,type,ownership,website,source_url_primary,source_url_secondary,stream_id,course_id,geography_lens_ids,confidence_level,notes
KA,iisc_bengaluru,Indian Institute of Science Bengaluru,Bengaluru,Institute of Eminence,Public,https://iisc.ac.in/,https://iisc.ac.in/,https://www.ugc.gov.in/,science_stats,science_stats_generic,"state_comfort|national_level",high,"National research institute; verify latest UG admissions policy each cycle."
GJ,cept_university_ahmedabad,CEPT University Ahmedabad,Ahmedabad,Private university,Private,https://cept.ac.in/,https://cept.ac.in/,https://www.coa.gov.in/,architecture,architecture_generic,"state_comfort|national_level",medium,"Architecture-focused intake; verify current entrance and counselling route."
DL,aiims_new_delhi,AIIMS New Delhi,New Delhi,Institute of National Importance,Public,https://www.aiims.edu/,https://www.aiims.edu/,https://mcc.nic.in/,medicine,medicine_mbbs,"state_comfort|national_level",high,"MBBS route is NEET-UG via counselling; confirm current round schedule."
KA,nlsiu_bengaluru,National Law School of India University Bengaluru,Bengaluru,Law university,Public,https://www.nls.ac.in/,https://www.nls.ac.in/,https://consortiumofnlus.ac.in/,law,law_generic,"state_comfort|national_level",high,"National law admissions pathway; verify current counselling and domicile policies."
GJ,iim_ahmedabad,Indian Institute of Management Ahmedabad,Ahmedabad,Institute of National Importance,Public,https://www.iima.ac.in/,https://www.iima.ac.in/,https://www.ugc.gov.in/,management,management_generic,"state_comfort|national_level",high,"Management entry pathways vary by program and degree level; verify latest criteria."
UP,amity_university_noida,Amity University Noida,Noida,Private university,Private,https://www.amity.edu/noida/,https://www.amity.edu/noida/,https://www.pci.nic.in/,pharmacy,pharmacy_generic,state_comfort,medium,"Pharmacy approvals and seat matrix should be verified from official notices."
TN,nift_chennai,National Institute of Fashion Technology Chennai,Chennai,Autonomous institute,Public,https://www.nift.ac.in/chennai/,https://www.nift.ac.in/chennai/,https://nift.ac.in/admission,design,design_generic,"state_comfort|national_level",medium,"Design admissions route can vary by program; verify NIFT admission bulletin."
MH,symbiosis_pune,Symbiosis International Pune,Pune,Deemed university,Private,https://www.siu.edu.in/,https://www.siu.edu.in/,https://www.ugc.gov.in/,commerce,commerce_generic,state_comfort,medium,"Use as private university commerce benchmark; verify program-level accreditation."
MH,tiss_mumbai,Tata Institute of Social Sciences Mumbai,Mumbai,Deemed university,Public,https://www.tiss.edu/,https://www.tiss.edu/,https://www.ugc.gov.in/,humanities,humanities_generic,"state_comfort|national_level",high,"Social sciences and humanities intake pathways vary by program; verify latest admission handbook."
UP,fddi_noida,Footwear Design and Development Institute Noida,Noida,Institute of National Importance,Public,https://fddiindia.com/,https://fddiindia.com/,https://www.education.gov.in/,fashion_media,fashion_media_generic,"state_comfort|national_level",medium,"Design and media allied admissions should be verified from current prospectus."
PB,lpu_phagwara,Lovely Professional University Phagwara,Phagwara,Private university,Private,https://www.lpu.in/,https://www.lpu.in/,https://www.ugc.gov.in/,engineering,engineering_generic,state_comfort,medium,"Private engineering admissions include institute-level pathways; verify scholarship and counselling details."
TN,nit_trichy,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Institute of National Importance,Public,https://www.nitt.edu/,https://www.nitt.edu/,https://josaa.nic.in/,engineering,engineering_generic,"state_comfort|national_level",high,"Engineering admission route is counselling based; verify current JoSAA and CSAB schedule."
RJ,banasthali_vidyapith_tonk,Banasthali Vidyapith Tonk,Tonk,Deemed university,Private,https://www.banasthali.org/,https://www.banasthali.org/,https://www.ugc.gov.in/,education,education_generic,state_comfort,medium,"Education programs and teacher-training approvals should be cross-checked each cycle."
UP,ivri_bareilly,Indian Veterinary Research Institute Bareilly,Bareilly,Research institute,Public,https://www.ivri.nic.in/,https://www.ivri.nic.in/,https://icar.org.in/,veterinary,veterinary_generic,state_comfort,medium,"Veterinary seat and eligibility details should be verified from ICAR and institute notifications."
DL,maulana_azad_medical_college_delhi,Maulana Azad Medical College New Delhi,New Delhi,Government medical college,Public,https://www.mamc.ac.in/,https://www.mamc.ac.in/,https://mcc.nic.in/,medicine,medicine_mbbs,"state_comfort|national_level",high,"Government medical college admissions route is counselling based via NEET-UG."
KA,manipal_college_of_dental_sciences_manipal,Manipal College of Dental Sciences Manipal,Manipal,Private dental college,Private,https://manipal.edu/mcods-manipal.html,https://manipal.edu/mcods-manipal.html,https://dciindia.gov.in/,dentistry,dentistry_generic,"state_comfort|national_level",medium,"Dental admission route and DCI recognition status should be verified from latest notices."
DL,lady_irwin_college_delhi,Lady Irwin College New Delhi,New Delhi,Constituent college,Public,https://ladyirwin.edu.in/,https://ladyirwin.edu.in/,https://www.du.ac.in/,science_stats,science_stats_generic,state_comfort,medium,"Science and home-science related admissions may follow university central counselling policies."
GJ,msu_baroda,Maharaja Sayajirao University of Baroda,Vadodara,State university,Public,https://msubaroda.ac.in/,https://msubaroda.ac.in/,https://www.ugc.gov.in/,ayush,ayush_generic,state_comfort,low,"Use as provisional AYUSH mapping pending program-level confirmation in official bulletin."
